Commodity-wise- Market-wise Daily-Report-on -01-01-2019,,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Bilsi,0.5,Tonnes,NR,Red,2200,2400,2300,Rs/Quintal
Buland Shahr,22,Tonnes,NR,Pathari,2200,2600,2450,Rs/Quintal
Chandausi,4.5,Tonnes,NR,Pathari,2600,2700,2650,Rs/Quintal
Chandoli,3.5,Tonnes,NR,Red,3450,3550,3500,Rs/Quintal
Charra,1.5,Tonnes,NR,Yellow,2600,2700,2650,Rs/Quintal
Chhibramau(Kannuj),1.2,Tonnes,NR,Red,3000,3090,3040,Rs/Quintal
Chitwadagaon,5,Tonnes,NR,Other,4000,4200,4100,Rs/Quintal
Chorichora,0.6,Tonnes,NR,Red,3100,3180,3135,Rs/Quintal
Choubepur,1.8,Tonnes,NR,Yellow,2970,3070,3020,Rs/Quintal
Dadri,2,Tonnes,NR,Pathari,2750,2860,2800,Rs/Quintal
Devariya,3.5,Tonnes,NR,Red,2735,2760,2750,Rs/Quintal
Etawah,7,Tonnes,NR,Red,2650,2900,2780,Rs/Quintal
Faizabad,4,Tonnes,NR,Yellow,2980,3050,3000,Rs/Quintal
Farukhabad,5,Tonnes,NR,Red,2750,2820,2800,Rs/Quintal
Fatehabad,17,Tonnes,NR,Pathari,3000,3100,3050,Rs/Quintal
Fatehpur,2.2,Tonnes,NR,Red,2900,3100,3040,Rs/Quintal
Fatehpur Sikri,0.7,Tonnes,NR,Pathari,2730,2770,2755,Rs/Quintal
Gangoh,3.2,Tonnes,NR,Disara,2260,2285,2275,Rs/Quintal
Gazipur,25,Tonnes,NR,Yellow,3100,3150,3125,Rs/Quintal
Golagokarnath,510,Tonnes,NR,Yellow,2400,2600,2460,Rs/Quintal
Gonda,13,Tonnes,NR,Pathari,3200,3240,3220,Rs/Quintal
Gopiganj,25,Tonnes,NR,Red,2800,2800,2800,Rs/Quintal
Gurusarai,1.2,Tonnes,NR,Other,3150,3250,3200,Rs/Quintal
Haldaur,10,Tonnes,NR,Black,2340,2440,2390,Rs/Quintal
Hapur,450,Tonnes,NR,Red,2200,2350,2260,Rs/Quintal
Hardoi,10,Tonnes,NR,Khandsari,2760,2790,2780,Rs/Quintal
Hargaon (Laharpur),47,Tonnes,NR,Other,1900,2000,1950,Rs/Quintal
Jagnair,0.9,Tonnes,NR,Pathari,2700,2740,2720,Rs/Quintal
Jahangirabad,1.2,Tonnes,NR,Yellow,2225,2275,2250,Rs/Quintal
Jaunpur,4.5,Tonnes,NR,Red,3400,3450,3430,Rs/Quintal
Jayas,1.8,Tonnes,NR,Yellow,2800,2900,2850,Rs/Quintal
Kanpur(Grain),90,Tonnes,NR,Red,2700,2800,2750,Rs/Quintal
Karvi,5,Tonnes,NR,Red,3100,3165,3135,Rs/Quintal
Kasganj,2.8,Tonnes,NR,Red,2600,2720,2650,Rs/Quintal
Kayamganj,5,Tonnes,NR,Red,3130,3150,3140,Rs/Quintal
Khair,15,Tonnes,NR,Red,2650,2750,2700,Rs/Quintal
Khairagarh,8,Tonnes,NR,Pathari,2730,2750,2740,Rs/Quintal
Khatauli,83.5,Tonnes,NR,Other,2130,2230,2180,Rs/Quintal
Khurja,5,Tonnes,NR,Red,2360,2480,2400,Rs/Quintal
Kiratpur,35,Tonnes,NR,Red,2300,2400,2360,Rs/Quintal
Konch,3,Tonnes,NR,Red,2950,3150,3050,Rs/Quintal
Kopaganj,17,Tonnes,NR,Red,3000,3100,3060,Rs/Quintal
Lakhimpur,2200,Tonnes,NR,Pathari,2500,2600,2550,Rs/Quintal
Lalitpur,12,Tonnes,NR,Red,3000,3650,3335,Rs/Quintal
Lucknow,53,Tonnes,NR,Yellow,2600,2700,2675,Rs/Quintal
Madhoganj,7.5,Tonnes,NR,Yellow,2300,2400,2350,Rs/Quintal
Maharajganj,18,Tonnes,NR,Red,2850,2950,2900,Rs/Quintal
Maholi,57.4,Tonnes,NR,Red,2150,2210,2200,Rs/Quintal
Mainpuri,5,Tonnes,NR,Red,2650,2750,2700,Rs/Quintal
Mathura,30,Tonnes,NR,Yellow,2620,2820,2720,Rs/Quintal
Mau,17,Tonnes,NR,Red,3000,3100,3060,Rs/Quintal
Maudaha,1.2,Tonnes,NR,Red,3020,3250,3120,Rs/Quintal
Mauranipur,1,Tonnes,NR,Yellow,3250,3350,3300,Rs/Quintal
Meerut,180,Tonnes,NR,Disara,2250,2400,2300,Rs/Quintal
