"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Tonk,105.3,Tonnes,NR,Mustard,3464,3665,3564,Rs/Quintal
Uniyara,3,Tonnes,NR,Other,3681,3681,3681,Rs/Quintal
Uttar Pradesh,,,,,,,,
Achalda,3,Tonnes,NR,Lohi Black,3500,3800,3600,Rs/Quintal
Achnera,3.5,Tonnes,NR,Sarson(Black),3600,3800,3700,Rs/Quintal
Agra,192,Tonnes,NR,Sarson(Black),3950,4150,4050,Rs/Quintal
Ajuha,1.2,Tonnes,NR,Lohi Black,3775,3850,3800,Rs/Quintal
Aligarh,45,Tonnes,NR,Sarson(Black),3650,3750,3700,Rs/Quintal
Auraiya,2,Tonnes,NR,Lohi Black,3600,3800,3700,Rs/Quintal
Azamgarh,3.8,Tonnes,NR,Lohi Black,4000,4100,4060,Rs/Quintal
Baberu,4.8,Tonnes,NR,Lohi Black,3540,3720,3625,Rs/Quintal
Badayoun,6,Tonnes,NR,Sarson(Black),3850,4000,3970,Rs/Quintal
Bahraich,1.8,Tonnes,NR,Sarson(Black),3550,4000,3770,Rs/Quintal
Ballia,3,Tonnes,NR,Sarson(Black),4000,4100,4040,Rs/Quintal
Bangarmau,1.4,Tonnes,NR,Lohi Black,3750,3850,3800,Rs/Quintal
Barabanki,15,Tonnes,NR,Sarson(Black),3700,3840,3800,Rs/Quintal
Bareilly,3.5,Tonnes,NR,Sarson(Black),4125,4250,4200,Rs/Quintal
Barhaj,20,Tonnes,NR,Mustard,4020,4040,4030,Rs/Quintal
Basti,1.4,Tonnes,NR,Lohi Black,4000,4050,4015,Rs/Quintal
Bharthna,2,Tonnes,NR,Lohi Black,3800,3900,3850,Rs/Quintal
Bharuasumerpur,5,Tonnes,NR,Mustard,3600,3800,3700,Rs/Quintal
Bijnaur,1.2,Tonnes,NR,Sarson(Black),4000,4100,4060,Rs/Quintal
Bilsi,3.8,Tonnes,NR,Sarson(Black),3900,4100,4000,Rs/Quintal
Buland Shahr,0.8,Tonnes,NR,Lohi Black,3700,4000,3830,Rs/Quintal
Chandausi,10,Tonnes,NR,Sarson(Black),4165,4260,4210,Rs/Quintal
Chandoli,0.6,Tonnes,NR,Lohi Black,3910,4000,3955,Rs/Quintal
Charra,6,Tonnes,NR,Sarson(Black),3670,3770,3720,Rs/Quintal
Chhibramau(Kannuj),1.2,Tonnes,NR,Lohi Black,3700,3900,3800,Rs/Quintal
Choubepur,4,Tonnes,NR,Lohi Black,4015,4115,4065,Rs/Quintal
Dadri,0.2,Tonnes,NR,Sarson(Black),4200,4300,4250,Rs/Quintal
Devariya,2.2,Tonnes,NR,Lohi Black,4050,4080,4070,Rs/Quintal
Divai,3.6,Tonnes,NR,Laha(Sarsib),3380,3400,3390,Rs/Quintal
Etawah,3,Tonnes,NR,Lohi Black,3600,3900,3750,Rs/Quintal
Faizabad,2.5,Tonnes,NR,Sarson(Black),3835,3860,3850,Rs/Quintal
Farukhabad,1,Tonnes,NR,Sarson(Black),3800,3840,3820,Rs/Quintal
Fatehabad,22,Tonnes,NR,Sarson(Black),3800,3850,3820,Rs/Quintal
Fatehpur,1,Tonnes,NR,Lohi Black,4000,4100,4050,Rs/Quintal
Fatehpur Sikri,4,Tonnes,NR,Sarson(Black),3790,3840,3810,Rs/Quintal
Gadaura,0.6,Tonnes,NR,Lohi Black,4000,4200,4100,Rs/Quintal
Gazipur,7,Tonnes,NR,Sarson(Black),3950,4100,4000,Rs/Quintal
Gonda,2.8,Tonnes,NR,Sarson(Black),3720,3795,3750,Rs/Quintal
Gurusarai,1.5,Tonnes,NR,Sarson(Black),3550,3650,3600,Rs/Quintal
Hapur,30,Tonnes,NR,Mustard,4100,4350,4200,Rs/Quintal
Hardoi,8,Tonnes,NR,Sarson(Black),3840,3860,3850,Rs/Quintal
Jafarganj,0.2,Tonnes,NR,Sarson(Black),3350,3500,3400,Rs/Quintal
Jagnair,6,Tonnes,NR,Sarson(Black),3550,3750,3650,Rs/Quintal
Jahangirabad,1,Tonnes,NR,Sarson(Black),3900,3950,3925,Rs/Quintal
Jalaun,3.7,Tonnes,NR,Lohi Black,3560,3620,3600,Rs/Quintal
Jaunpur,5.4,Tonnes,NR,Lohi Black,4030,4070,4050,Rs/Quintal
Jhijhank,0.3,Tonnes,NR,Sarson(Black),3800,4000,3900,Rs/Quintal
Kanpur(Grain),70,Tonnes,NR,Sarson(Black),4100,4300,4200,Rs/Quintal
Karvi,10,Tonnes,NR,Lohi Black,3580,3650,3620,Rs/Quintal
Kasganj,8,Tonnes,NR,Sarson(Black),3600,3720,3650,Rs/Quintal
Kayamganj,2.5,Tonnes,NR,Lohi Black,3720,3740,3730,Rs/Quintal
Khair,10,Tonnes,NR,Sarson(Black),3660,3750,3700,Rs/Quintal
Khairagarh,13,Tonnes,NR,Sarson(Black),3600,3800,3700,Rs/Quintal
Khurja,0.2,Tonnes,NR,Sarson(Black),3775,3900,3825,Rs/Quintal
Lakhimpur,20,Tonnes,NR,Sarson(Black),3820,3900,3850,Rs/Quintal
Lalitpur,180,Tonnes,NR,Sarson(Black),3400,3800,3700,Rs/Quintal
Lucknow,54,Tonnes,NR,Lohi Black,3750,3850,3800,Rs/Quintal
Madhoganj,1.6,Tonnes,NR,Lohi Black,4000,4050,4030,Rs/Quintal
Maharajganj,2,Tonnes,NR,Sarson(Black),4000,4000,4000,Rs/Quintal
Mainpuri,1.5,Tonnes,NR,Sarson(Black),3875,3975,3925,Rs/Quintal
Mathura,4,Tonnes,NR,Sarson(Black),3810,4010,3910,Rs/Quintal
Mau(Chitrakut),1,Tonnes,NR,Big 100 Kg,3500,3550,3525,Rs/Quintal
Maudaha,6,Tonnes,NR,Sarson(Black),3600,4000,3675,Rs/Quintal
Mauranipur,2.5,Tonnes,NR,Sarson(Black),3450,3550,3500,Rs/Quintal
Meerut,7.5,Tonnes,NR,Sarson(Black),4050,4250,4180,Rs/Quintal
Mirzapur,1.5,Tonnes,NR,Sarson(Black),4025,4085,4060,Rs/Quintal
Mugrabaadshahpur,2.5,Tonnes,NR,Other,3950,4050,4000,Rs/Quintal
Muskara,8,Tonnes,NR,Sarson(Black),3650,3750,3700,Rs/Quintal
Muzzafarnagar,5,Tonnes,NR,Mustard,4000,4230,4200,Rs/Quintal
Naanpara,0.6,Tonnes,NR,Sarson(Black),3800,3900,3825,Rs/Quintal
Nanuta,0.25,Tonnes,NR,Sarson(Black),3900,4400,4100,Rs/Quintal
Naugarh,0.7,Tonnes,NR,Sarson(Black),4000,4050,4025,Rs/Quintal
Partaval,1,Tonnes,NR,Lohi Black,4100,4175,4155,Rs/Quintal
Pilibhit,3,Tonnes,NR,Lohi Black,4180,4230,4210,Rs/Quintal
Pratapgarh,2,Tonnes,NR,Sarson(Black),3810,3830,3820,Rs/Quintal
Pukhrayan,16,Tonnes,NR,Sarson(Black),4120,4320,4220,Rs/Quintal
Puwaha,8,Tonnes,NR,Lohi Black,4000,4100,4100,Rs/Quintal
Raath,13.5,Tonnes,NR,Lohi Black,3500,3575,3550,Rs/Quintal
Raibareilly,2.2,Tonnes,NR,Sarson(Black),3500,3560,3550,Rs/Quintal
Rampur,3,Tonnes,NR,Sarson(Black),4175,4250,4220,Rs/Quintal
Robertsganj,2.5,Tonnes,NR,Lohi Black,4020,4080,4050,Rs/Quintal
Rura,7,Tonnes,NR,Sarson(Black),3300,3800,3600,Rs/Quintal
Safdarganj,6.6,Tonnes,NR,Lohi Black,3700,3800,3750,Rs/Quintal
Saharanpur,6,Tonnes,NR,Sarson(Black),4160,4230,4190,Rs/Quintal
Sahiyapur,0.6,Tonnes,NR,Lohi Black,3980,4086,4030,Rs/Quintal
Samsabad,219,Tonnes,NR,Sarson(Black),3800,3850,3825,Rs/Quintal
Shahganj,2,Tonnes,NR,Sarson(Black),3980,4050,4010,Rs/Quintal
Shikohabad,1,Tonnes,NR,Sarson(Black),3840,3860,3850,Rs/Quintal
Sitapur,120,Tonnes,NR,Lohi Black,3500,3600,3560,Rs/Quintal
Soharatgarh,0.4,Tonnes,NR,Sarson(Black),4020,4050,4035,Rs/Quintal
Sultanpur,3.2,Tonnes,NR,Mustard,3450,3500,3480,Rs/Quintal
Tundla,6,Tonnes,NR,Lohi Black,3850,3880,3860,Rs/Quintal
Ujhani,2,Tonnes,NR,Sarson(Black),3950,4050,4000,Rs/Quintal
Unnao,1.5,Tonnes,NR,Lohi Black,3800,3900,3850,Rs/Quintal
Varanasi(Grain),40,Tonnes,NR,Sarson(Black),4130,4170,4150,Rs/Quintal
Varipaal,1.7,Tonnes,NR,Mustard,3400,3635,3600,Rs/Quintal
Vishalpur,4,Tonnes,NR,Sarson(Black),4125,4250,4175,Rs/Quintal
West Bengal,,,,,,,,
Asansol,22.6,Tonnes,NR,Other,4350,4450,4400,Rs/Quintal
Baxirhat,0.6,Tonnes,NR,Mustard,3900,4100,4000,Rs/Quintal
Beldanga,25,Tonnes,NR,Yellow (Black),3780,3825,3800,Rs/Quintal
Bishnupur(Bankura),11,Tonnes,NR,Mustard,4100,4300,4200,Rs/Quintal
Burdwan,35,Tonnes,NR,Sarson(Black),4550,4650,4600,Rs/Quintal
Durgapur,23,Tonnes,NR,Other,4650,4750,4700,Rs/Quintal
Gajol,12.3,Tonnes,NR,Mustard,4150,4250,4200,Rs/Quintal
Ghatal,6,Tonnes,NR,Yellow (Black),3950,4100,4050,Rs/Quintal
Guskara(Burdwan),14,Tonnes,NR,Yellow (Black),4150,4250,4200,Rs/Quintal
Indus(Bankura Sadar),3,Tonnes,NR,Mustard,4200,4400,4300,Rs/Quintal
Kandi,1.5,Tonnes,NR,Yellow (Black),4300,4400,4350,Rs/Quintal
Katwa,21.5,Tonnes,NR,Yellow (Black),4150,4250,4200,Rs/Quintal
Khatra,7,Tonnes,NR,Mustard,4100,4300,4200,Rs/Quintal
Nadia,2.3,Tonnes,NR,Yellow (Black),4300,4400,4350,Rs/Quintal
Rampurhat,6,Tonnes,NR,Mustard,4150,4250,4200,Rs/Quintal
Samsi,3.5,Tonnes,NR,Sarson(Black),4150,4250,4200,Rs/Quintal
,,,NR,Yellow (Black),4250,4350,4300,Rs/Quintal
Toofanganj,6,Tonnes,NR,Mustard,3900,4100,4000,Rs/Quintal
Niger Seed (Ramtil),,,,,,,,
Madhya Pradesh,,,,,,,,
Dindori,40,Tonnes,NR,Niger Seed,4600,4600,4600,Rs/Quintal
"Sesamum(Sesame,Gingelly,Til)",,,,,,,,
Gujarat,,,,,,,,
Amreli,10,Tonnes,NR,Black,11950,16815,16815,Rs/Quintal
,,,NR,White,6500,13435,12860,Rs/Quintal
Bachau,0.5,Tonnes,NR,Black,10000,12000,11500,Rs/Quintal
Bhavnagar,1.4,Tonnes,NR,Black,15255,17125,16250,Rs/Quintal
,,,NR,White,11575,12500,12000,Rs/Quintal
Botad,7.6,Tonnes,NR,Black,10250,16680,13465,Rs/Quintal
,,,NR,White,10355,12730,11545,Rs/Quintal
Dahod,0.4,Tonnes,NR,White,10300,11500,11000,Rs/Quintal
Dhanera,0.1,Tonnes,NR,Other,11000,12000,11500,Rs/Quintal
Dhrol,0.5,Tonnes,NR,Other,11425,12100,11765,Rs/Quintal
Gondal,20.2,Tonnes,NR,Black,12880,16855,15955,Rs/Quintal
,,,NR,White,8500,12755,12205,Rs/Quintal
Halvad,4.38,Tonnes,NR,White,10000,12225,11000,Rs/Quintal
Jam Jodhpur,2.56,Tonnes,NR,Black,14500,16200,15350,Rs/Quintal
,,,NR,White,11050,12400,11700,Rs/Quintal
Jamnagar,7.9,Tonnes,NR,Other,10625,13275,11950,Rs/Quintal
Jasdan,2.5,Tonnes,NR,Black,12400,16500,15500,Rs/Quintal
,,,NR,White,10000,12050,11250,Rs/Quintal
Junagadh,3.9,Tonnes,NR,Black,12500,16050,14250,Rs/Quintal
,,,NR,White,10000,12450,11500,Rs/Quintal
K.Mandvi,1.34,Tonnes,NR,Other,11750,11875,11812,Rs/Quintal
Kalawad,0.3,Tonnes,NR,Other,10500,11975,11237,Rs/Quintal
Mahuva(Station Road),1.5,Tonnes,NR,White,11300,12645,12000,Rs/Quintal
Mansa,0.06,Tonnes,NR,White,10750,11355,10900,Rs/Quintal
Morbi,6.4,Tonnes,NR,White,10500,13010,11755,Rs/Quintal
Patan,0.3,Tonnes,NR,Other,8500,11000,9800,Rs/Quintal
Rajkot,30,Tonnes,NR,Black,14350,16375,15500,Rs/Quintal
,,,NR,White,10800,12810,12000,Rs/Quintal
Rajula,0.2,Tonnes,NR,White,11270,12500,11885,Rs/Quintal
Rapar,0.2,Tonnes,NR,Sesame,10075,10075,10075,Rs/Quintal
Savarkundla,1,Tonnes,NR,Black,14505,16260,15383,Rs/Quintal
,,,NR,White,12000,13305,12653,Rs/Quintal
Unjha,31.2,Tonnes,NR,Sesame,10405,15255,11725,Rs/Quintal
Vadodara,2.5,Tonnes,NR,Other,11000,13000,13000,Rs/Quintal
Vankaner,0.8,Tonnes,NR,Other,10875,12365,11750,Rs/Quintal
Visavadar,0.16,Tonnes,NR,Black,14250,15200,14725,Rs/Quintal
,,,NR,White,10120,11860,10990,Rs/Quintal
Karnataka,,,,,,,,
Bangalore,4,Tonnes,NR,Black,10500,12500,11500,Rs/Quintal
Gulbarga,11,Tonnes,NR,White,11105,11602,11304,Rs/Quintal
Madhya Pradesh,,,,,,,,
LavKush Nagar(Laundi),4.7,Tonnes,NR,White,10300,10600,10450,Rs/Quintal
Morena,0.3,Tonnes,NR,Sesame,10300,10300,10300,Rs/Quintal
Neemuch,1.6,Tonnes,NR,White,10000,11200,10500,Rs/Quintal
Sheopurkalan,0.2,Tonnes,NR,White,10001,10001,10001,Rs/Quintal
Vijaypur,2,Tonnes,NR,95/5,9800,10000,10000,Rs/Quintal
Maharashtra,,,,,,,,
Amarawati,NR,Tonnes,NR,Other,11000,14000,12500,Rs/Quintal
Kille Dharur,NR,Tonnes,NR,White,13500,13500,13500,Rs/Quintal
Shegaon,NR,Tonnes,NR,White,11000,11000,11000,Rs/Quintal
Rajasthan,,,,,,,,
Alwar,0.2,Tonnes,NR,Other,10300,10600,10450,Rs/Quintal
Baran,0.8,Tonnes,NR,Other,10000,10500,10000,Rs/Quintal
Bikaner (Grain),1.6,Tonnes,NR,Other,9992,10080,10036,Rs/Quintal
Chaksu,0.3,Tonnes,NR,Other,9525,10850,10000,Rs/Quintal
Dausa,2.6,Tonnes,NR,Other,10400,10870,10635,Rs/Quintal
Deoli,0.2,Tonnes,NR,Other,10000,12000,11000,Rs/Quintal
Gangapur City,10.9,Tonnes,NR,Other,10500,12200,11350,Rs/Quintal
Gangapurcity(Old Lal mandi),0.6,Tonnes,NR,Other,10500,10700,10600,Rs/Quintal
Goluwala,0.5,Tonnes,NR,Other,10800,11070,11070,Rs/Quintal
Hindoun,2.1,Tonnes,NR,Other,10392,11150,10771,Rs/Quintal
Itawa,0.1,Tonnes,NR,Other,10101,10101,10101,Rs/Quintal
Jodhpur (Grain)(Mandor),0.7,Tonnes,NR,Gajjar,7000,13000,10000,Rs/Quintal
Kota,5.5,Tonnes,NR,Other,9101,11401,10000,Rs/Quintal
Lalsot(Mandabari),2.5,Tonnes,NR,Other,10050,10700,10375,Rs/Quintal
Mahuwa Mandawar,0.2,Tonnes,NR,Other,9401,9500,9451,Rs/Quintal
Nagaur,45.9,Tonnes,NR,Other,9700,11000,10500,Rs/Quintal
Nohar,8.5,Tonnes,NR,Other,14000,14000,14000,Rs/Quintal
Nokha,26,Tonnes,NR,Other,10011,13000,11506,Rs/Quintal
Rawatsar,3,Tonnes,NR,Other,9825,14000,13200,Rs/Quintal
Sardar Shahar,38.6,Tonnes,NR,Other,10000,10500,10200,Rs/Quintal
Sawai Madhopur,0.2,Tonnes,NR,Other,10000,10401,10401,Rs/Quintal
Sujangarh(Churu),23.6,Tonnes,NR,Other,10200,10400,10300,Rs/Quintal
Suratgarh,0.2,Tonnes,NR,Black,9301,9301,9301,Rs/Quintal
Uttar Pradesh,,,,,,,,
Bharuasumerpur,1,Tonnes,NR,Whitish,10650,11500,11000,Rs/Quintal
Jhijhank,0.5,Tonnes,NR,White,6049,6249,6149,Rs/Quintal
Lalitpur,20,Tonnes,NR,White,9000,9568,9300,Rs/Quintal
Maudaha,1,Tonnes,NR,White,10400,10900,10700,Rs/Quintal
Mauranipur,4,Tonnes,NR,White,10250,10450,10300,Rs/Quintal
Muskara,3,Tonnes,NR,White,10600,11300,11000,Rs/Quintal
Raath,4.5,Tonnes,NR,White,10700,10900,10800,Rs/Quintal
West Bengal,,,,,,,,
Ghatal,6.5,Tonnes,NR,Red,7300,7500,7400,Rs/Quintal
Guskara(Burdwan),16,Tonnes,NR,Other,6850,6950,6900,Rs/Quintal
Katwa,23,Tonnes,NR,Other,6950,7050,7000,Rs/Quintal
Soyabean,,,,,,,,
Chattisgarh,,,,,,,,
Bhatapara,1.1,Tonnes,NR,Other,2791,2995,2825,Rs/Quintal
Dongargaon,129.8,Tonnes,NR,Local,2980,3401,3283,Rs/Quintal
Khamhariya,20.6,Tonnes,NR,Yellow,3150,3150,3150,Rs/Quintal
Kheragarh,1,Tonnes,NR,Other,2500,2500,2500,Rs/Quintal
Munguli,0.3,Tonnes,NR,Yellow,3200,3200,3200,Rs/Quintal
Gujarat,,,,,,,,
Bhiloda,0.6,Tonnes,NR,Other,3200,3275,3238,Rs/Quintal
Dahod,78.8,Tonnes,NR,Soyabeen,3425,3446,3435,Rs/Quintal
Dhoraji,0.7,Tonnes,NR,Yellow,3030,3180,3105,Rs/Quintal
Gondal,1.1,Tonnes,NR,Yellow,3030,3305,3130,Rs/Quintal
Jam Jodhpur,1.3,Tonnes,NR,Soyabeen,2750,3250,3000,Rs/Quintal
Jhalod,3,Tonnes,NR,Other,3000,3200,3100,Rs/Quintal
Junagadh,25.4,Tonnes,NR,Soyabeen,2930,3370,3250,Rs/Quintal
Khedbrahma,1,Tonnes,NR,Other,3125,3300,3212,Rs/Quintal
Mandvi,0.07,Tonnes,NR,Other,3000,3000,3000,Rs/Quintal
Modasa,3.5,Tonnes,NR,Yellow,3100,3345,3200,Rs/Quintal
S.Mandvi,0.07,Tonnes,NR,Other,3000,3000,3000,Rs/Quintal
Karnataka,,,,,,,,
Bailahongal,16,Tonnes,NR,Local,3200,3346,3300,Rs/Quintal
Bhalki,104,Tonnes,NR,Soyabeen,3270,3380,3343,Rs/Quintal
Bidar,38,Tonnes,NR,Soyabeen,3331,3372,3350,Rs/Quintal
Dharwar,37,Tonnes,NR,Soyabeen,3197,3437,3374,Rs/Quintal
Gulbarga,5,Tonnes,NR,Soyabeen,2652,3152,2876,Rs/Quintal
Hanagal,2,Tonnes,NR,Soyabeen,3210,3210,3210,Rs/Quintal
Hubli (Amaragol),2,Tonnes,NR,Soyabeen,2603,2803,2603,Rs/Quintal
Kalagategi,19,Tonnes,NR,Soyabeen,3200,3300,3250,Rs/Quintal
Shiggauv,5,Tonnes,NR,Soyabeen,3330,3344,3337,Rs/Quintal
Madhya Pradesh,,,,,,,,
A lot,777.31,Tonnes,NR,Yellow,3151,3342,3318,Rs/Quintal
Agar,100,Tonnes,NR,Other,2900,3380,3270,Rs/Quintal
Anjad,7.2,Tonnes,NR,Other,3200,3311,3240,Rs/Quintal
Aron,51.4,Tonnes,NR,Other,2535,3290,3050,Rs/Quintal
Ashoknagar,120.2,Tonnes,NR,Yellow,2800,3340,3189,Rs/Quintal
Ashta,256.5,Tonnes,NR,Yellow,2500,3475,3302,Rs/Quintal
Badamalhera,1.59,Tonnes,NR,Soyabeen,3005,3180,3155,Rs/Quintal
Badarwas,50.7,Tonnes,NR,Soyabeen,2875,3225,3050,Rs/Quintal
Badnagar,630.2,Tonnes,NR,Yellow,3062,3578,3260,Rs/Quintal
Badnawar,604.6,Tonnes,NR,Yellow,2805,3415,3325,Rs/Quintal
Badod,56.7,Tonnes,NR,Yellow,2955,3345,3150,Rs/Quintal
Bamora,9.9,Tonnes,NR,Yellow,2750,3260,3180,Rs/Quintal
Banapura,75.7,Tonnes,NR,Yellow,2601,3249,3229,Rs/Quintal
Banda,20.6,Tonnes,NR,Soyabeen,3025,3200,3160,Rs/Quintal
Barad,10.9,Tonnes,NR,Yellow,3120,3246,3165,Rs/Quintal
Begamganj,47,Tonnes,NR,Other,2700,3220,3150,Rs/Quintal
Berachha,13.2,Tonnes,NR,Other,2980,3206,3150,Rs/Quintal
Berasia,115.6,Tonnes,NR,Soyabeen,2925,3255,3150,Rs/Quintal
,,,NR,Yellow,2925,3255,3150,Rs/Quintal
Betul,88.9,Tonnes,NR,Yellow,3000,3281,3250,Rs/Quintal
Bhikangaon,12.3,Tonnes,NR,Other,3100,3300,3300,Rs/Quintal
Bhopal,60.8,Tonnes,NR,Yellow,2835,3345,3276,Rs/Quintal
Biaora,57,Tonnes,NR,Yellow,3085,3290,3140,Rs/Quintal
Bina,53.4,Tonnes,NR,Yellow,2900,3235,3160,Rs/Quintal
Binaganj,48.42,Tonnes,NR,Other,3060,3280,3150,Rs/Quintal
Burhanpur,21.1,Tonnes,NR,Yellow,2201,3509,3200,Rs/Quintal
Dabra,2,Tonnes,NR,Yellow,3000,3000,3000,Rs/Quintal
Daloda,202.4,Tonnes,NR,Soyabeen,3080,3430,3350,Rs/Quintal
Damoh,25,Tonnes,NR,Yellow,3070,3270,3190,Rs/Quintal
Deori,58,Tonnes,NR,Soyabeen,3050,3399,3399,Rs/Quintal
Dewas,882.5,Tonnes,NR,Other,2800,3375,3200,Rs/Quintal
Dhamnod,16.4,Tonnes,NR,Yellow,3000,3355,3120,Rs/Quintal
Dhar,699.5,Tonnes,NR,Yellow,2700,3462,3250,Rs/Quintal
Gairatganj,14.1,Tonnes,NR,Yellow,3050,3120,3075,Rs/Quintal
Gandhwani,10.2,Tonnes,NR,Yellow,3331,3345,3340,Rs/Quintal
Ganjbasoda,210.1,Tonnes,NR,Yellow,1803,3327,3214,Rs/Quintal
Garhakota,19.8,Tonnes,NR,Yellow,3200,3277,3237,Rs/Quintal
Gautampura,363,Tonnes,NR,Other,2800,3310,3230,Rs/Quintal
Gorakhpur,123.2,Tonnes,NR,Local,3100,3100,3100,Rs/Quintal
Gotegaon,33.7,Tonnes,NR,Yellow,3050,3105,3102,Rs/Quintal
Guna,111.4,Tonnes,NR,Other,3055,3305,3250,Rs/Quintal
Haatpipliya,90.53,Tonnes,NR,Yellow,3060,3311,3186,Rs/Quintal
Harda,540.4,Tonnes,NR,Yellow,2401,3250,3150,Rs/Quintal
Harsood,74.4,Tonnes,NR,Yellow,3200,3325,3310,Rs/Quintal
Indore,477.3,Tonnes,NR,Yellow,2500,3350,3250,Rs/Quintal
Jaora,621.7,Tonnes,NR,Other,3200,3400,3250,Rs/Quintal
Javad,9.1,Tonnes,NR,Other,3213,3425,3223,Rs/Quintal
Jawar,20.6,Tonnes,NR,Soyabeen,2600,3387,3338,Rs/Quintal
Jeerapur,83.2,Tonnes,NR,Yellow,2900,3305,3150,Rs/Quintal
Jhabua,1.5,Tonnes,NR,Yellow,3326,3326,3326,Rs/Quintal
Jobat,1.1,Tonnes,NR,Other,3000,3175,3100,Rs/Quintal
Kailaras,0.5,Tonnes,NR,Yellow,3100,3100,3100,Rs/Quintal
Kalapipal,208.31,Tonnes,NR,Yellow,3000,3310,3150,Rs/Quintal
Kannod,22.5,Tonnes,NR,Soyabeen,3100,3300,3200,Rs/Quintal
Kareli,0.9,Tonnes,NR,Yellow,2400,3200,2800,Rs/Quintal
Karhi,6.53,Tonnes,NR,Other,3275,3275,3275,Rs/Quintal
Kasrawad,9.2,Tonnes,NR,Soyabeen,3230,3255,3240,Rs/Quintal
Khachrod,167.9,Tonnes,NR,Yellow,3171,3512,3388,Rs/Quintal
Khandwa,397.1,Tonnes,NR,Yellow,2997,3350,3275,Rs/Quintal
Khargone,100,Tonnes,NR,Other,3150,3392,3256,Rs/Quintal
Khategaon,1.74,Tonnes,NR,Soyabeen,2800,3300,3000,Rs/Quintal
Khatora,12.1,Tonnes,NR,Other,3080,3160,3100,Rs/Quintal
Khilchipur,42.8,Tonnes,NR,Soyabeen,3155,3275,3170,Rs/Quintal
Khirakiya,179.9,Tonnes,NR,Yellow,2900,3302,3256,Rs/Quintal
Kolaras,23.1,Tonnes,NR,Other,3042,3263,3178,Rs/Quintal
Kukshi,50.34,Tonnes,NR,Yellow,3105,3350,3200,Rs/Quintal
Kumbhraj,7,Tonnes,NR,Other,2830,3195,3095,Rs/Quintal
Kurwai,1.5,Tonnes,NR,Yellow,3050,3150,3100,Rs/Quintal
Lateri,27.8,Tonnes,NR,Yellow,3075,3205,3140,Rs/Quintal
Mahidpur,332.2,Tonnes,NR,Yellow,3093,3412,3252,Rs/Quintal
Maksi,38.9,Tonnes,NR,Other,3000,3270,3150,Rs/Quintal
Maksudangarh,30.1,Tonnes,NR,Other,1600,3435,3150,Rs/Quintal
Manasa,2396,Tonnes,NR,Other,3071,3426,3248,Rs/Quintal
Manawar,52.6,Tonnes,NR,Other,2986,3301,3281,Rs/Quintal
Mandsaur,400,Tonnes,NR,Other,3100,3385,3220,Rs/Quintal
Momanbadodiya,43.7,Tonnes,NR,Yellow,2450,3273,3175,Rs/Quintal
Multai,139.7,Tonnes,NR,Yellow,2930,3210,3070,Rs/Quintal
Mungawali,12.3,Tonnes,NR,Yellow,3100,3235,3185,Rs/Quintal
Nagda,129.9,Tonnes,NR,Yellow,3000,3388,3300,Rs/Quintal
Nalkehda,89.9,Tonnes,NR,Other,3270,3333,3301,Rs/Quintal
Nasrullaganj,211.7,Tonnes,NR,Yellow,3000,3266,3254,Rs/Quintal
Neemuch,430.5,Tonnes,NR,Yellow,2550,3500,3340,Rs/Quintal
Pachaur,160.78,Tonnes,NR,Yellow,2700,3385,3250,Rs/Quintal
Pandhana,5.8,Tonnes,NR,Other,3100,3210,3210,Rs/Quintal
Pandhurna,14,Tonnes,NR,Yellow,3150,3190,3180,Rs/Quintal
Petlawad,116.92,Tonnes,NR,Yellow,2950,3330,3215,Rs/Quintal
Piplya,122.4,Tonnes,NR,Soyabeen,3053,3416,3350,Rs/Quintal
Pohari,2.9,Tonnes,NR,Yellow,3151,3190,3190,Rs/Quintal
Raghogarh,4.3,Tonnes,NR,Soyabeen,3231,3248,3240,Rs/Quintal
Rahatgarh,12.7,Tonnes,NR,Yellow,3170,3270,3220,Rs/Quintal
Raisen,2,Tonnes,NR,Other,2900,2900,2900,Rs/Quintal
Rajgarh,272.3,Tonnes,NR,Yellow,2935,3500,3260,Rs/Quintal
Ratlam,450.1,Tonnes,NR,Yellow,3050,3415,3280,Rs/Quintal
Rehli,55,Tonnes,NR,Yellow,3100,3300,3200,Rs/Quintal
Sagar,144.8,Tonnes,NR,Yellow,2800,3310,3250,Rs/Quintal
Sailana,203.1,Tonnes,NR,Other,3101,3531,3300,Rs/Quintal
Sanawad,3.9,Tonnes,NR,Soyabeen,3100,3222,3200,Rs/Quintal
Sanwer,198.3,Tonnes,NR,Yellow,2950,3372,3230,Rs/Quintal
Sarangpur,111.6,Tonnes,NR,Yellow,2899,3282,3100,Rs/Quintal
Segaon,88,Tonnes,NR,Other,3150,3250,3200,Rs/Quintal
Sendhwa,30.1,Tonnes,NR,Yellow,3232,3350,3291,Rs/Quintal
Shadora,4.9,Tonnes,NR,Other,3207,3250,3249,Rs/Quintal
Shamgarh,697.18,Tonnes,NR,Soyabeen,2920,3351,3100,Rs/Quintal
Shamshabad,87.4,Tonnes,NR,Yellow,1201,3289,3201,Rs/Quintal
