"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Huliyar,23,Tonnes,NR,Ball,16200,16600,16500,Rs/Quintal
,,,NR,other,12400,12800,12500,Rs/Quintal
K.R. Pet,6,Tonnes,NR,Copra,15000,16500,16500,Rs/Quintal
Nagamangala,19,Tonnes,NR,Medium,16500,16500,16500,Rs/Quintal
,,,NR,other,10000,10000,10000,Rs/Quintal
Tiptur,138,Tonnes,NR,Copra,15000,17200,16500,Rs/Quintal
,,,NR,other,5400,13300,10000,Rs/Quintal
Tumkur,8,Tonnes,NR,other,6500,7300,6800,Rs/Quintal
Kerala,,,,,,,,
Kanjangadu,2,Tonnes,NR,other,9600,10000,9800,Rs/Quintal
Kuthuparambu,3.4,Tonnes,NR,other,11800,12500,12000,Rs/Quintal
Manjeswaram,10,Tonnes,NR,Copra,10500,10600,10550,Rs/Quintal
Neeleswaram,2,Tonnes,NR,other,9400,9600,9500,Rs/Quintal
Payyannur,0.45,Tonnes,NR,other,10400,10600,10500,Rs/Quintal
Taliparamba,0.7,Tonnes,NR,other,10200,10600,10400,Rs/Quintal
Thodupuzha,12,Tonnes,NR,other,11800,12000,12000,Rs/Quintal
Tamil Nadu,,,,,,,,
Anaimalai,15.84,Tonnes,NR,other,11500,12400,11900,Rs/Quintal
Madathukulam,NR,Tonnes,NR,Ball,11625,11800,11700,Rs/Quintal
Udumalpet,NR,Tonnes,NR,other,10400,10800,10600,Rs/Quintal
Cotton Seed,,,,,,,,
Rajasthan,,,,,,,,
Kama,1.2,Tonnes,NR,Other,5352,5352,5352,Rs/Quintal
Ground Nut Seed,,,,,,,,
Gujarat,,,,,,,,
Amreli,0.1,Tonnes,NR,Other,4875,4875,4875,Rs/Quintal
Porbandar,0.3,Tonnes,NR,Ground Nut Seed,4150,4275,4210,Rs/Quintal
Rajkot,2,Tonnes,NR,Ground Nut Seed,5200,5875,5500,Rs/Quintal
Vadodara,5.88,Tonnes,NR,Other,5000,6000,6000,Rs/Quintal
Visavadar,0.08,Tonnes,NR,Ground Nut Seed,4260,4570,4415,Rs/Quintal
Karnataka,,,,,,,,
Bangalore,15,Tonnes,NR,Ground Nut Seed,9500,10000,9750,Rs/Quintal
Mysore (Bandipalya),44,Tonnes,NR,Ground Nut Seed,7600,10000,8800,Rs/Quintal
Rajasthan,,,,,,,,
Sri Madhopur,87.8,Tonnes,NR,Other,3410,6100,4755,Rs/Quintal
Uttar Pradesh,,,,,,,,
Tanda,8.5,Tonnes,NR,Ground Nut Seed,5000,7000,6000,Rs/Quintal
Groundnut,,,,,,,,
Chattisgarh,,,,,,,,
Pratappur,2,Tonnes,NR,Other,4900,4900,4900,Rs/Quintal
Gujarat,,,,,,,,
Amreli,70.5,Tonnes,NR,Big (With Shell),2505,4555,3950,Rs/Quintal
Bayad,2.8,Tonnes,NR,Other,4890,5000,5000,Rs/Quintal
Bhavnagar,78.5,Tonnes,NR,G20,4070,4300,4150,Rs/Quintal
,,,NR,Other,3750,4325,4000,Rs/Quintal
Bhiloda,2,Tonnes,NR,Other,3700,5000,4350,Rs/Quintal
Dahod,0.9,Tonnes,NR,Other,3700,4200,4000,Rs/Quintal
Deesa,156.2,Tonnes,NR,Other,3500,4180,4000,Rs/Quintal
Deesa(Bhildi),70.1,Tonnes,NR,Other,3250,4200,4055,Rs/Quintal
Dhanera,117,Tonnes,NR,Other,3000,4245,3622,Rs/Quintal
Dhari,44.16,Tonnes,NR,Bold,5000,5000,5000,Rs/Quintal
Dhoraji,5.3,Tonnes,NR,G20,3730,4255,4155,Rs/Quintal
Dhrol,13.9,Tonnes,NR,Other,3150,4300,3725,Rs/Quintal
Gondal,506.4,Tonnes,NR,Bold Kernel,3730,4980,4330,Rs/Quintal
,,,NR,G20,3150,4655,4005,Rs/Quintal
Halvad,4.6,Tonnes,NR,Other,3650,4200,3850,Rs/Quintal
Himatnagar,55.3,Tonnes,NR,JL-24,4250,4960,4600,Rs/Quintal
Jam Jodhpur,150,Tonnes,NR,G20,2500,4350,3400,Rs/Quintal
,,,NR,M-37,3000,4300,3650,Rs/Quintal
Jamnagar,91.1,Tonnes,NR,Other,3350,4385,3868,Rs/Quintal
Jasdan,48,Tonnes,NR,Bold,3575,4215,3875,Rs/Quintal
,,,NR,G20,3250,4400,3900,Rs/Quintal
Junagadh,110.4,Tonnes,NR,Bold,3500,4370,4000,Rs/Quintal
,,,NR,Local,3750,4360,4100,Rs/Quintal
K.Mandvi,14.38,Tonnes,NR,Other,5000,5000,5000,Rs/Quintal
Kalawad,65.9,Tonnes,NR,Other,3000,4355,3677,Rs/Quintal
Kapadvanj,0.6,Tonnes,NR,Balli/Habbu,4000,4250,4150,Rs/Quintal
Khedbrahma,2,Tonnes,NR,Other,3625,3850,3737,Rs/Quintal
Mahuva(Station Road),59.5,Tonnes,NR,Bold,4125,4565,4300,Rs/Quintal
,,,NR,G20,3655,4500,4200,Rs/Quintal
Mandvi,0.04,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Mangrol,41,Tonnes,NR,G20,5000,5000,5000,Rs/Quintal
,,,NR,Local,5000,5000,5000,Rs/Quintal
Meghraj,6,Tonnes,NR,Other,5000,5000,5000,Rs/Quintal
Modasa,18.4,Tonnes,NR,Local,3750,4400,4150,Rs/Quintal
Modasa(Tintoi),6.5,Tonnes,NR,G20,3650,4125,3900,Rs/Quintal
Morbi,4.9,Tonnes,NR,Other,2000,4655,3327.5,Rs/Quintal
Palanpur,124,Tonnes,NR,Groundnut seed,3500,4400,3950,Rs/Quintal
Porbandar,27.8,Tonnes,NR,Bold,3500,4150,3825,Rs/Quintal
Rajkot,150,Tonnes,NR,Bold,3600,4475,4200,Rs/Quintal
,,,NR,G20,3800,4400,4000,Rs/Quintal
Rajula,0.8,Tonnes,NR,Local,3150,3500,3325,Rs/Quintal
S.Mandvi,0.04,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Savarkundla,36.5,Tonnes,NR,Big (With Shell),3500,5000,4250,Rs/Quintal
,,,NR,Bold,3750,5000,4375,Rs/Quintal
Talod,13.4,Tonnes,NR,Other,3625,4525,4075,Rs/Quintal
